Mechanism,ID,State,Action,Duration,Energy,CO2Footprint,ACR
Internal,87,disruptive,Autonomous,2.45364666,0.000000029,0.00000959,0.4
Internal,88,disruptive,Autonomous,2.575844765,0.0000000964,0.0000319,0.6
Internal,89,disruptive,Autonomous,2.389466047,0.0000000853,0.0000282,0.6
Internal,90,disruptive,Autonomous,4.258934498,9.81E-10,0.000000324,0.8
Internal,91,disruptive,Human,8.702057362,0.0000000279,0.00000921,0.8
Internal,92,disruptive,Autonomous,2.406505585,0.0000000396,0.0000131,0.8
Internal,93,disruptive,Autonomous,4.289493799,0.00000000105,0.000000348,0.8
Internal,94,disruptive,Autonomous,2.477470636,0.0000000759,0.0000251,0.8
Internal,95,disruptive,Autonomous,2.384971857,0.0000000925,0.0000306,0.8
Internal,96,disruptive,Autonomous,2.453919649,0.0000000925,0.0000306,1
Internal,97,disruptive,Autonomous,2.581614017,0.0000000933,0.0000309,1
Internal,98,disruptive,Autonomous,4.342889547,9.8E-10,0.000000324,1
Internal,99,disruptive,Autonomous,2.4968822,0.0000000758,0.0000251,1
Internal,100,disruptive,Human,9.303861141,0.0000000325,0.0000108,0.8
Internal,101,disruptive,Autonomous,2.430850267,0.0000000429,0.0000142,0.8
Internal,102,disruptive,Autonomous,4.266378164,9.9E-10,0.000000328,0.8
Internal,103,disruptive,Autonomous,2.484923601,0.0000000689,0.0000228,0.8
Internal,104,disruptive,Autonomous,2.397344589,0.000000186,0.0000614,0.8
Internal,105,disruptive,Autonomous,2.483210087,0.0000000949,0.0000314,1
Internal,106,disruptive,Human,8.347667456,0.0000000269,0.0000089,0.8
Internal,107,disruptive,Autonomous,2.562312126,0.0000000516,0.0000171,0.8
Internal,108,disruptive,Human,8.40644455,0.0000000263,0.00000869,0.6
Internal,109,disruptive,Autonomous,2.457063198,0.0000000468,0.0000155,0.6
Internal,110,disruptive,Autonomous,4.632007837,9.87E-10,0.000000326,0.6
Internal,111,disruptive,Human,8.397702456,0.0000000263,0.00000869,0.6
Internal,112,disruptive,Autonomous,2.51078105,0.0000000506,0.0000167,0.6
Internal,113,disruptive,Autonomous,2.391419888,0.0000000854,0.0000283,0.8
Internal,114,disruptive,Human,7.659012794,0.00000000651,0.00000215,0.6
Internal,115,disruptive,Autonomous,2.450282097,0.0000000452,0.000015,0.6
